# Q-point mesh: 64000 points
# Dense 0-0.3 (30 pts), Coarse 0.3-0.5 (10 pts)
  0.0600000000  0.3666666700  0.3000000000
  0.0600000000  0.3666666700  0.3222222200
  0.0600000000  0.3666666700  0.3444444400
  0.0600000000  0.3666666700  0.3666666700
  0.0600000000  0.3666666700  0.3888888900
  0.0600000000  0.3666666700  0.4111111100
  0.0600000000  0.3666666700  0.4333333300
  0.0600000000  0.3666666700  0.4555555600
  0.0600000000  0.3666666700  0.4777777800
  0.0600000000  0.3666666700  0.5000000000
  0.0600000000  0.3888888900  0.0000000000
  0.0600000000  0.3888888900  0.0100000000
  0.0600000000  0.3888888900  0.0200000000
  0.0600000000  0.3888888900  0.0300000000
  0.0600000000  0.3888888900  0.0400000000
  0.0600000000  0.3888888900  0.0500000000
  0.0600000000  0.3888888900  0.0600000000
  0.0600000000  0.3888888900  0.0700000000
  0.0600000000  0.3888888900  0.0800000000
  0.0600000000  0.3888888900  0.0900000000
  0.0600000000  0.3888888900  0.1000000000
  0.0600000000  0.3888888900  0.1100000000
  0.0600000000  0.3888888900  0.1200000000
  0.0600000000  0.3888888900  0.1300000000
  0.0600000000  0.3888888900  0.1400000000
  0.0600000000  0.3888888900  0.1500000000
  0.0600000000  0.3888888900  0.1600000000
  0.0600000000  0.3888888900  0.1700000000
  0.0600000000  0.3888888900  0.1800000000
  0.0600000000  0.3888888900  0.1900000000
  0.0600000000  0.3888888900  0.2000000000
  0.0600000000  0.3888888900  0.2100000000
  0.0600000000  0.3888888900  0.2200000000
  0.0600000000  0.3888888900  0.2300000000
  0.0600000000  0.3888888900  0.2400000000
  0.0600000000  0.3888888900  0.2500000000
  0.0600000000  0.3888888900  0.2600000000
  0.0600000000  0.3888888900  0.2700000000
  0.0600000000  0.3888888900  0.2800000000
  0.0600000000  0.3888888900  0.2900000000
  0.0600000000  0.3888888900  0.3000000000
  0.0600000000  0.3888888900  0.3222222200
  0.0600000000  0.3888888900  0.3444444400
  0.0600000000  0.3888888900  0.3666666700
  0.0600000000  0.3888888900  0.3888888900
  0.0600000000  0.3888888900  0.4111111100
  0.0600000000  0.3888888900  0.4333333300
  0.0600000000  0.3888888900  0.4555555600
  0.0600000000  0.3888888900  0.4777777800
  0.0600000000  0.3888888900  0.5000000000
  0.0600000000  0.4111111100  0.0000000000
  0.0600000000  0.4111111100  0.0100000000
  0.0600000000  0.4111111100  0.0200000000
  0.0600000000  0.4111111100  0.0300000000
  0.0600000000  0.4111111100  0.0400000000
  0.0600000000  0.4111111100  0.0500000000
  0.0600000000  0.4111111100  0.0600000000
  0.0600000000  0.4111111100  0.0700000000
  0.0600000000  0.4111111100  0.0800000000
  0.0600000000  0.4111111100  0.0900000000
  0.0600000000  0.4111111100  0.1000000000
  0.0600000000  0.4111111100  0.1100000000
  0.0600000000  0.4111111100  0.1200000000
  0.0600000000  0.4111111100  0.1300000000
  0.0600000000  0.4111111100  0.1400000000
  0.0600000000  0.4111111100  0.1500000000
  0.0600000000  0.4111111100  0.1600000000
  0.0600000000  0.4111111100  0.1700000000
  0.0600000000  0.4111111100  0.1800000000
  0.0600000000  0.4111111100  0.1900000000
  0.0600000000  0.4111111100  0.2000000000
  0.0600000000  0.4111111100  0.2100000000
  0.0600000000  0.4111111100  0.2200000000
  0.0600000000  0.4111111100  0.2300000000
  0.0600000000  0.4111111100  0.2400000000
  0.0600000000  0.4111111100  0.2500000000
  0.0600000000  0.4111111100  0.2600000000
  0.0600000000  0.4111111100  0.2700000000
  0.0600000000  0.4111111100  0.2800000000
  0.0600000000  0.4111111100  0.2900000000
  0.0600000000  0.4111111100  0.3000000000
  0.0600000000  0.4111111100  0.3222222200
  0.0600000000  0.4111111100  0.3444444400
  0.0600000000  0.4111111100  0.3666666700
  0.0600000000  0.4111111100  0.3888888900
  0.0600000000  0.4111111100  0.4111111100
  0.0600000000  0.4111111100  0.4333333300
  0.0600000000  0.4111111100  0.4555555600
  0.0600000000  0.4111111100  0.4777777800
  0.0600000000  0.4111111100  0.5000000000
  0.0600000000  0.4333333300  0.0000000000
  0.0600000000  0.4333333300  0.0100000000
  0.0600000000  0.4333333300  0.0200000000
  0.0600000000  0.4333333300  0.0300000000
  0.0600000000  0.4333333300  0.0400000000
  0.0600000000  0.4333333300  0.0500000000
  0.0600000000  0.4333333300  0.0600000000
  0.0600000000  0.4333333300  0.0700000000
  0.0600000000  0.4333333300  0.0800000000
  0.0600000000  0.4333333300  0.0900000000
  0.0600000000  0.4333333300  0.1000000000
  0.0600000000  0.4333333300  0.1100000000
  0.0600000000  0.4333333300  0.1200000000
  0.0600000000  0.4333333300  0.1300000000
  0.0600000000  0.4333333300  0.1400000000
  0.0600000000  0.4333333300  0.1500000000
  0.0600000000  0.4333333300  0.1600000000
  0.0600000000  0.4333333300  0.1700000000
  0.0600000000  0.4333333300  0.1800000000
  0.0600000000  0.4333333300  0.1900000000
  0.0600000000  0.4333333300  0.2000000000
  0.0600000000  0.4333333300  0.2100000000
  0.0600000000  0.4333333300  0.2200000000
  0.0600000000  0.4333333300  0.2300000000
  0.0600000000  0.4333333300  0.2400000000
  0.0600000000  0.4333333300  0.2500000000
  0.0600000000  0.4333333300  0.2600000000
  0.0600000000  0.4333333300  0.2700000000
  0.0600000000  0.4333333300  0.2800000000
  0.0600000000  0.4333333300  0.2900000000
  0.0600000000  0.4333333300  0.3000000000
  0.0600000000  0.4333333300  0.3222222200
  0.0600000000  0.4333333300  0.3444444400
  0.0600000000  0.4333333300  0.3666666700
  0.0600000000  0.4333333300  0.3888888900
  0.0600000000  0.4333333300  0.4111111100
  0.0600000000  0.4333333300  0.4333333300
  0.0600000000  0.4333333300  0.4555555600
  0.0600000000  0.4333333300  0.4777777800
  0.0600000000  0.4333333300  0.5000000000
  0.0600000000  0.4555555600  0.0000000000
  0.0600000000  0.4555555600  0.0100000000
  0.0600000000  0.4555555600  0.0200000000
  0.0600000000  0.4555555600  0.0300000000
  0.0600000000  0.4555555600  0.0400000000
  0.0600000000  0.4555555600  0.0500000000
  0.0600000000  0.4555555600  0.0600000000
  0.0600000000  0.4555555600  0.0700000000
  0.0600000000  0.4555555600  0.0800000000
  0.0600000000  0.4555555600  0.0900000000
  0.0600000000  0.4555555600  0.1000000000
  0.0600000000  0.4555555600  0.1100000000
  0.0600000000  0.4555555600  0.1200000000
  0.0600000000  0.4555555600  0.1300000000
  0.0600000000  0.4555555600  0.1400000000
  0.0600000000  0.4555555600  0.1500000000
  0.0600000000  0.4555555600  0.1600000000
  0.0600000000  0.4555555600  0.1700000000
  0.0600000000  0.4555555600  0.1800000000
  0.0600000000  0.4555555600  0.1900000000
  0.0600000000  0.4555555600  0.2000000000
  0.0600000000  0.4555555600  0.2100000000
  0.0600000000  0.4555555600  0.2200000000
  0.0600000000  0.4555555600  0.2300000000
  0.0600000000  0.4555555600  0.2400000000
  0.0600000000  0.4555555600  0.2500000000
  0.0600000000  0.4555555600  0.2600000000
  0.0600000000  0.4555555600  0.2700000000
  0.0600000000  0.4555555600  0.2800000000
  0.0600000000  0.4555555600  0.2900000000
  0.0600000000  0.4555555600  0.3000000000
  0.0600000000  0.4555555600  0.3222222200
  0.0600000000  0.4555555600  0.3444444400
  0.0600000000  0.4555555600  0.3666666700
  0.0600000000  0.4555555600  0.3888888900
  0.0600000000  0.4555555600  0.4111111100
  0.0600000000  0.4555555600  0.4333333300
  0.0600000000  0.4555555600  0.4555555600
  0.0600000000  0.4555555600  0.4777777800
  0.0600000000  0.4555555600  0.5000000000
  0.0600000000  0.4777777800  0.0000000000
  0.0600000000  0.4777777800  0.0100000000
  0.0600000000  0.4777777800  0.0200000000
  0.0600000000  0.4777777800  0.0300000000
  0.0600000000  0.4777777800  0.0400000000
  0.0600000000  0.4777777800  0.0500000000
  0.0600000000  0.4777777800  0.0600000000
  0.0600000000  0.4777777800  0.0700000000
  0.0600000000  0.4777777800  0.0800000000
  0.0600000000  0.4777777800  0.0900000000
  0.0600000000  0.4777777800  0.1000000000
  0.0600000000  0.4777777800  0.1100000000
  0.0600000000  0.4777777800  0.1200000000
  0.0600000000  0.4777777800  0.1300000000
  0.0600000000  0.4777777800  0.1400000000
  0.0600000000  0.4777777800  0.1500000000
  0.0600000000  0.4777777800  0.1600000000
  0.0600000000  0.4777777800  0.1700000000
  0.0600000000  0.4777777800  0.1800000000
  0.0600000000  0.4777777800  0.1900000000
  0.0600000000  0.4777777800  0.2000000000
  0.0600000000  0.4777777800  0.2100000000
  0.0600000000  0.4777777800  0.2200000000
  0.0600000000  0.4777777800  0.2300000000
  0.0600000000  0.4777777800  0.2400000000
  0.0600000000  0.4777777800  0.2500000000
  0.0600000000  0.4777777800  0.2600000000
  0.0600000000  0.4777777800  0.2700000000
  0.0600000000  0.4777777800  0.2800000000
  0.0600000000  0.4777777800  0.2900000000
  0.0600000000  0.4777777800  0.3000000000
  0.0600000000  0.4777777800  0.3222222200
  0.0600000000  0.4777777800  0.3444444400
  0.0600000000  0.4777777800  0.3666666700
  0.0600000000  0.4777777800  0.3888888900
  0.0600000000  0.4777777800  0.4111111100
  0.0600000000  0.4777777800  0.4333333300
  0.0600000000  0.4777777800  0.4555555600
  0.0600000000  0.4777777800  0.4777777800
  0.0600000000  0.4777777800  0.5000000000
  0.0600000000  0.5000000000  0.0000000000
  0.0600000000  0.5000000000  0.0100000000
  0.0600000000  0.5000000000  0.0200000000
  0.0600000000  0.5000000000  0.0300000000
  0.0600000000  0.5000000000  0.0400000000
  0.0600000000  0.5000000000  0.0500000000
  0.0600000000  0.5000000000  0.0600000000
  0.0600000000  0.5000000000  0.0700000000
  0.0600000000  0.5000000000  0.0800000000
  0.0600000000  0.5000000000  0.0900000000
  0.0600000000  0.5000000000  0.1000000000
  0.0600000000  0.5000000000  0.1100000000
  0.0600000000  0.5000000000  0.1200000000
  0.0600000000  0.5000000000  0.1300000000
  0.0600000000  0.5000000000  0.1400000000
  0.0600000000  0.5000000000  0.1500000000
  0.0600000000  0.5000000000  0.1600000000
  0.0600000000  0.5000000000  0.1700000000
  0.0600000000  0.5000000000  0.1800000000
  0.0600000000  0.5000000000  0.1900000000
  0.0600000000  0.5000000000  0.2000000000
  0.0600000000  0.5000000000  0.2100000000
  0.0600000000  0.5000000000  0.2200000000
  0.0600000000  0.5000000000  0.2300000000
  0.0600000000  0.5000000000  0.2400000000
  0.0600000000  0.5000000000  0.2500000000
  0.0600000000  0.5000000000  0.2600000000
  0.0600000000  0.5000000000  0.2700000000
  0.0600000000  0.5000000000  0.2800000000
  0.0600000000  0.5000000000  0.2900000000
  0.0600000000  0.5000000000  0.3000000000
  0.0600000000  0.5000000000  0.3222222200
  0.0600000000  0.5000000000  0.3444444400
  0.0600000000  0.5000000000  0.3666666700
  0.0600000000  0.5000000000  0.3888888900
  0.0600000000  0.5000000000  0.4111111100
  0.0600000000  0.5000000000  0.4333333300
  0.0600000000  0.5000000000  0.4555555600
  0.0600000000  0.5000000000  0.4777777800
  0.0600000000  0.5000000000  0.5000000000
  0.0700000000  0.0000000000  0.0000000000
  0.0700000000  0.0000000000  0.0100000000
  0.0700000000  0.0000000000  0.0200000000
  0.0700000000  0.0000000000  0.0300000000
  0.0700000000  0.0000000000  0.0400000000
  0.0700000000  0.0000000000  0.0500000000
  0.0700000000  0.0000000000  0.0600000000
  0.0700000000  0.0000000000  0.0700000000
  0.0700000000  0.0000000000  0.0800000000
  0.0700000000  0.0000000000  0.0900000000
  0.0700000000  0.0000000000  0.1000000000
  0.0700000000  0.0000000000  0.1100000000
  0.0700000000  0.0000000000  0.1200000000
  0.0700000000  0.0000000000  0.1300000000
  0.0700000000  0.0000000000  0.1400000000
  0.0700000000  0.0000000000  0.1500000000
  0.0700000000  0.0000000000  0.1600000000
  0.0700000000  0.0000000000  0.1700000000
  0.0700000000  0.0000000000  0.1800000000
  0.0700000000  0.0000000000  0.1900000000
  0.0700000000  0.0000000000  0.2000000000
  0.0700000000  0.0000000000  0.2100000000
  0.0700000000  0.0000000000  0.2200000000
  0.0700000000  0.0000000000  0.2300000000
  0.0700000000  0.0000000000  0.2400000000
  0.0700000000  0.0000000000  0.2500000000
  0.0700000000  0.0000000000  0.2600000000
  0.0700000000  0.0000000000  0.2700000000
  0.0700000000  0.0000000000  0.2800000000
  0.0700000000  0.0000000000  0.2900000000
  0.0700000000  0.0000000000  0.3000000000
  0.0700000000  0.0000000000  0.3222222200
  0.0700000000  0.0000000000  0.3444444400
  0.0700000000  0.0000000000  0.3666666700
  0.0700000000  0.0000000000  0.3888888900
  0.0700000000  0.0000000000  0.4111111100
  0.0700000000  0.0000000000  0.4333333300
  0.0700000000  0.0000000000  0.4555555600
  0.0700000000  0.0000000000  0.4777777800
  0.0700000000  0.0000000000  0.5000000000
  0.0700000000  0.0100000000  0.0000000000
  0.0700000000  0.0100000000  0.0100000000
  0.0700000000  0.0100000000  0.0200000000
  0.0700000000  0.0100000000  0.0300000000
  0.0700000000  0.0100000000  0.0400000000
  0.0700000000  0.0100000000  0.0500000000
  0.0700000000  0.0100000000  0.0600000000
  0.0700000000  0.0100000000  0.0700000000
  0.0700000000  0.0100000000  0.0800000000
  0.0700000000  0.0100000000  0.0900000000
  0.0700000000  0.0100000000  0.1000000000
  0.0700000000  0.0100000000  0.1100000000
  0.0700000000  0.0100000000  0.1200000000
  0.0700000000  0.0100000000  0.1300000000
  0.0700000000  0.0100000000  0.1400000000
  0.0700000000  0.0100000000  0.1500000000
  0.0700000000  0.0100000000  0.1600000000
  0.0700000000  0.0100000000  0.1700000000
  0.0700000000  0.0100000000  0.1800000000
  0.0700000000  0.0100000000  0.1900000000
  0.0700000000  0.0100000000  0.2000000000
  0.0700000000  0.0100000000  0.2100000000
  0.0700000000  0.0100000000  0.2200000000
  0.0700000000  0.0100000000  0.2300000000
  0.0700000000  0.0100000000  0.2400000000
  0.0700000000  0.0100000000  0.2500000000
  0.0700000000  0.0100000000  0.2600000000
  0.0700000000  0.0100000000  0.2700000000
  0.0700000000  0.0100000000  0.2800000000
  0.0700000000  0.0100000000  0.2900000000
  0.0700000000  0.0100000000  0.3000000000
  0.0700000000  0.0100000000  0.3222222200
  0.0700000000  0.0100000000  0.3444444400
  0.0700000000  0.0100000000  0.3666666700
  0.0700000000  0.0100000000  0.3888888900
  0.0700000000  0.0100000000  0.4111111100
  0.0700000000  0.0100000000  0.4333333300
  0.0700000000  0.0100000000  0.4555555600
  0.0700000000  0.0100000000  0.4777777800
  0.0700000000  0.0100000000  0.5000000000
  0.0700000000  0.0200000000  0.0000000000
  0.0700000000  0.0200000000  0.0100000000
  0.0700000000  0.0200000000  0.0200000000
  0.0700000000  0.0200000000  0.0300000000
  0.0700000000  0.0200000000  0.0400000000
  0.0700000000  0.0200000000  0.0500000000
  0.0700000000  0.0200000000  0.0600000000
  0.0700000000  0.0200000000  0.0700000000
  0.0700000000  0.0200000000  0.0800000000
  0.0700000000  0.0200000000  0.0900000000
  0.0700000000  0.0200000000  0.1000000000
  0.0700000000  0.0200000000  0.1100000000
  0.0700000000  0.0200000000  0.1200000000
  0.0700000000  0.0200000000  0.1300000000
  0.0700000000  0.0200000000  0.1400000000
  0.0700000000  0.0200000000  0.1500000000
  0.0700000000  0.0200000000  0.1600000000
  0.0700000000  0.0200000000  0.1700000000
  0.0700000000  0.0200000000  0.1800000000
  0.0700000000  0.0200000000  0.1900000000
  0.0700000000  0.0200000000  0.2000000000
  0.0700000000  0.0200000000  0.2100000000
  0.0700000000  0.0200000000  0.2200000000
  0.0700000000  0.0200000000  0.2300000000
  0.0700000000  0.0200000000  0.2400000000
  0.0700000000  0.0200000000  0.2500000000
  0.0700000000  0.0200000000  0.2600000000
  0.0700000000  0.0200000000  0.2700000000
  0.0700000000  0.0200000000  0.2800000000
  0.0700000000  0.0200000000  0.2900000000
  0.0700000000  0.0200000000  0.3000000000
  0.0700000000  0.0200000000  0.3222222200
  0.0700000000  0.0200000000  0.3444444400
  0.0700000000  0.0200000000  0.3666666700
  0.0700000000  0.0200000000  0.3888888900
  0.0700000000  0.0200000000  0.4111111100
  0.0700000000  0.0200000000  0.4333333300
  0.0700000000  0.0200000000  0.4555555600
  0.0700000000  0.0200000000  0.4777777800
  0.0700000000  0.0200000000  0.5000000000
  0.0700000000  0.0300000000  0.0000000000
  0.0700000000  0.0300000000  0.0100000000
  0.0700000000  0.0300000000  0.0200000000
  0.0700000000  0.0300000000  0.0300000000
  0.0700000000  0.0300000000  0.0400000000
  0.0700000000  0.0300000000  0.0500000000
  0.0700000000  0.0300000000  0.0600000000
  0.0700000000  0.0300000000  0.0700000000
  0.0700000000  0.0300000000  0.0800000000
  0.0700000000  0.0300000000  0.0900000000
  0.0700000000  0.0300000000  0.1000000000
  0.0700000000  0.0300000000  0.1100000000
  0.0700000000  0.0300000000  0.1200000000
  0.0700000000  0.0300000000  0.1300000000
  0.0700000000  0.0300000000  0.1400000000
  0.0700000000  0.0300000000  0.1500000000
  0.0700000000  0.0300000000  0.1600000000
  0.0700000000  0.0300000000  0.1700000000
  0.0700000000  0.0300000000  0.1800000000
  0.0700000000  0.0300000000  0.1900000000
  0.0700000000  0.0300000000  0.2000000000
  0.0700000000  0.0300000000  0.2100000000
  0.0700000000  0.0300000000  0.2200000000
  0.0700000000  0.0300000000  0.2300000000
  0.0700000000  0.0300000000  0.2400000000
  0.0700000000  0.0300000000  0.2500000000
  0.0700000000  0.0300000000  0.2600000000
  0.0700000000  0.0300000000  0.2700000000
  0.0700000000  0.0300000000  0.2800000000
  0.0700000000  0.0300000000  0.2900000000
  0.0700000000  0.0300000000  0.3000000000
  0.0700000000  0.0300000000  0.3222222200
  0.0700000000  0.0300000000  0.3444444400
  0.0700000000  0.0300000000  0.3666666700
  0.0700000000  0.0300000000  0.3888888900
  0.0700000000  0.0300000000  0.4111111100
  0.0700000000  0.0300000000  0.4333333300
  0.0700000000  0.0300000000  0.4555555600
  0.0700000000  0.0300000000  0.4777777800
  0.0700000000  0.0300000000  0.5000000000
  0.0700000000  0.0400000000  0.0000000000
  0.0700000000  0.0400000000  0.0100000000
  0.0700000000  0.0400000000  0.0200000000
  0.0700000000  0.0400000000  0.0300000000
  0.0700000000  0.0400000000  0.0400000000
  0.0700000000  0.0400000000  0.0500000000
  0.0700000000  0.0400000000  0.0600000000
  0.0700000000  0.0400000000  0.0700000000
  0.0700000000  0.0400000000  0.0800000000
  0.0700000000  0.0400000000  0.0900000000
  0.0700000000  0.0400000000  0.1000000000
  0.0700000000  0.0400000000  0.1100000000
  0.0700000000  0.0400000000  0.1200000000
  0.0700000000  0.0400000000  0.1300000000
  0.0700000000  0.0400000000  0.1400000000
  0.0700000000  0.0400000000  0.1500000000
  0.0700000000  0.0400000000  0.1600000000
  0.0700000000  0.0400000000  0.1700000000
  0.0700000000  0.0400000000  0.1800000000
  0.0700000000  0.0400000000  0.1900000000
  0.0700000000  0.0400000000  0.2000000000
  0.0700000000  0.0400000000  0.2100000000
  0.0700000000  0.0400000000  0.2200000000
  0.0700000000  0.0400000000  0.2300000000
  0.0700000000  0.0400000000  0.2400000000
  0.0700000000  0.0400000000  0.2500000000
  0.0700000000  0.0400000000  0.2600000000
  0.0700000000  0.0400000000  0.2700000000
  0.0700000000  0.0400000000  0.2800000000
  0.0700000000  0.0400000000  0.2900000000
  0.0700000000  0.0400000000  0.3000000000
  0.0700000000  0.0400000000  0.3222222200
  0.0700000000  0.0400000000  0.3444444400
  0.0700000000  0.0400000000  0.3666666700
  0.0700000000  0.0400000000  0.3888888900
  0.0700000000  0.0400000000  0.4111111100
  0.0700000000  0.0400000000  0.4333333300
  0.0700000000  0.0400000000  0.4555555600
  0.0700000000  0.0400000000  0.4777777800
  0.0700000000  0.0400000000  0.5000000000
  0.0700000000  0.0500000000  0.0000000000
  0.0700000000  0.0500000000  0.0100000000
  0.0700000000  0.0500000000  0.0200000000
  0.0700000000  0.0500000000  0.0300000000
  0.0700000000  0.0500000000  0.0400000000
  0.0700000000  0.0500000000  0.0500000000
  0.0700000000  0.0500000000  0.0600000000
  0.0700000000  0.0500000000  0.0700000000
  0.0700000000  0.0500000000  0.0800000000
  0.0700000000  0.0500000000  0.0900000000
  0.0700000000  0.0500000000  0.1000000000
  0.0700000000  0.0500000000  0.1100000000
  0.0700000000  0.0500000000  0.1200000000
  0.0700000000  0.0500000000  0.1300000000
  0.0700000000  0.0500000000  0.1400000000
  0.0700000000  0.0500000000  0.1500000000
  0.0700000000  0.0500000000  0.1600000000
  0.0700000000  0.0500000000  0.1700000000
  0.0700000000  0.0500000000  0.1800000000
  0.0700000000  0.0500000000  0.1900000000
  0.0700000000  0.0500000000  0.2000000000
  0.0700000000  0.0500000000  0.2100000000
  0.0700000000  0.0500000000  0.2200000000
  0.0700000000  0.0500000000  0.2300000000
  0.0700000000  0.0500000000  0.2400000000
  0.0700000000  0.0500000000  0.2500000000
  0.0700000000  0.0500000000  0.2600000000
  0.0700000000  0.0500000000  0.2700000000
  0.0700000000  0.0500000000  0.2800000000
  0.0700000000  0.0500000000  0.2900000000
  0.0700000000  0.0500000000  0.3000000000
  0.0700000000  0.0500000000  0.3222222200
  0.0700000000  0.0500000000  0.3444444400
  0.0700000000  0.0500000000  0.3666666700
  0.0700000000  0.0500000000  0.3888888900
  0.0700000000  0.0500000000  0.4111111100
  0.0700000000  0.0500000000  0.4333333300
  0.0700000000  0.0500000000  0.4555555600
  0.0700000000  0.0500000000  0.4777777800
  0.0700000000  0.0500000000  0.5000000000
  0.0700000000  0.0600000000  0.0000000000
  0.0700000000  0.0600000000  0.0100000000
  0.0700000000  0.0600000000  0.0200000000
  0.0700000000  0.0600000000  0.0300000000
  0.0700000000  0.0600000000  0.0400000000
  0.0700000000  0.0600000000  0.0500000000
  0.0700000000  0.0600000000  0.0600000000
  0.0700000000  0.0600000000  0.0700000000
  0.0700000000  0.0600000000  0.0800000000
  0.0700000000  0.0600000000  0.0900000000
  0.0700000000  0.0600000000  0.1000000000
  0.0700000000  0.0600000000  0.1100000000
  0.0700000000  0.0600000000  0.1200000000
  0.0700000000  0.0600000000  0.1300000000
  0.0700000000  0.0600000000  0.1400000000
  0.0700000000  0.0600000000  0.1500000000
  0.0700000000  0.0600000000  0.1600000000
  0.0700000000  0.0600000000  0.1700000000
  0.0700000000  0.0600000000  0.1800000000
  0.0700000000  0.0600000000  0.1900000000
  0.0700000000  0.0600000000  0.2000000000
  0.0700000000  0.0600000000  0.2100000000
  0.0700000000  0.0600000000  0.2200000000
  0.0700000000  0.0600000000  0.2300000000
  0.0700000000  0.0600000000  0.2400000000
  0.0700000000  0.0600000000  0.2500000000
  0.0700000000  0.0600000000  0.2600000000
  0.0700000000  0.0600000000  0.2700000000
  0.0700000000  0.0600000000  0.2800000000
  0.0700000000  0.0600000000  0.2900000000
  0.0700000000  0.0600000000  0.3000000000
  0.0700000000  0.0600000000  0.3222222200
  0.0700000000  0.0600000000  0.3444444400
  0.0700000000  0.0600000000  0.3666666700
  0.0700000000  0.0600000000  0.3888888900
  0.0700000000  0.0600000000  0.4111111100
  0.0700000000  0.0600000000  0.4333333300
  0.0700000000  0.0600000000  0.4555555600
  0.0700000000  0.0600000000  0.4777777800
  0.0700000000  0.0600000000  0.5000000000
  0.0700000000  0.0700000000  0.0000000000
  0.0700000000  0.0700000000  0.0100000000
  0.0700000000  0.0700000000  0.0200000000
  0.0700000000  0.0700000000  0.0300000000
  0.0700000000  0.0700000000  0.0400000000
  0.0700000000  0.0700000000  0.0500000000
  0.0700000000  0.0700000000  0.0600000000
  0.0700000000  0.0700000000  0.0700000000
  0.0700000000  0.0700000000  0.0800000000
  0.0700000000  0.0700000000  0.0900000000
  0.0700000000  0.0700000000  0.1000000000
  0.0700000000  0.0700000000  0.1100000000
  0.0700000000  0.0700000000  0.1200000000
  0.0700000000  0.0700000000  0.1300000000
  0.0700000000  0.0700000000  0.1400000000
  0.0700000000  0.0700000000  0.1500000000
  0.0700000000  0.0700000000  0.1600000000
  0.0700000000  0.0700000000  0.1700000000
  0.0700000000  0.0700000000  0.1800000000
  0.0700000000  0.0700000000  0.1900000000
  0.0700000000  0.0700000000  0.2000000000
  0.0700000000  0.0700000000  0.2100000000
  0.0700000000  0.0700000000  0.2200000000
  0.0700000000  0.0700000000  0.2300000000
  0.0700000000  0.0700000000  0.2400000000
  0.0700000000  0.0700000000  0.2500000000
  0.0700000000  0.0700000000  0.2600000000
  0.0700000000  0.0700000000  0.2700000000
  0.0700000000  0.0700000000  0.2800000000
  0.0700000000  0.0700000000  0.2900000000
  0.0700000000  0.0700000000  0.3000000000
  0.0700000000  0.0700000000  0.3222222200
  0.0700000000  0.0700000000  0.3444444400
  0.0700000000  0.0700000000  0.3666666700
  0.0700000000  0.0700000000  0.3888888900
  0.0700000000  0.0700000000  0.4111111100
  0.0700000000  0.0700000000  0.4333333300
  0.0700000000  0.0700000000  0.4555555600
  0.0700000000  0.0700000000  0.4777777800
  0.0700000000  0.0700000000  0.5000000000
  0.0700000000  0.0800000000  0.0000000000
  0.0700000000  0.0800000000  0.0100000000
  0.0700000000  0.0800000000  0.0200000000
  0.0700000000  0.0800000000  0.0300000000
  0.0700000000  0.0800000000  0.0400000000
  0.0700000000  0.0800000000  0.0500000000
  0.0700000000  0.0800000000  0.0600000000
  0.0700000000  0.0800000000  0.0700000000
  0.0700000000  0.0800000000  0.0800000000
  0.0700000000  0.0800000000  0.0900000000
  0.0700000000  0.0800000000  0.1000000000
  0.0700000000  0.0800000000  0.1100000000
  0.0700000000  0.0800000000  0.1200000000
  0.0700000000  0.0800000000  0.1300000000
  0.0700000000  0.0800000000  0.1400000000
  0.0700000000  0.0800000000  0.1500000000
  0.0700000000  0.0800000000  0.1600000000
  0.0700000000  0.0800000000  0.1700000000
  0.0700000000  0.0800000000  0.1800000000
  0.0700000000  0.0800000000  0.1900000000
  0.0700000000  0.0800000000  0.2000000000
  0.0700000000  0.0800000000  0.2100000000
  0.0700000000  0.0800000000  0.2200000000
  0.0700000000  0.0800000000  0.2300000000
  0.0700000000  0.0800000000  0.2400000000
  0.0700000000  0.0800000000  0.2500000000
  0.0700000000  0.0800000000  0.2600000000
  0.0700000000  0.0800000000  0.2700000000
  0.0700000000  0.0800000000  0.2800000000
  0.0700000000  0.0800000000  0.2900000000
  0.0700000000  0.0800000000  0.3000000000
  0.0700000000  0.0800000000  0.3222222200
  0.0700000000  0.0800000000  0.3444444400
  0.0700000000  0.0800000000  0.3666666700
  0.0700000000  0.0800000000  0.3888888900
  0.0700000000  0.0800000000  0.4111111100
  0.0700000000  0.0800000000  0.4333333300
  0.0700000000  0.0800000000  0.4555555600
  0.0700000000  0.0800000000  0.4777777800
  0.0700000000  0.0800000000  0.5000000000
  0.0700000000  0.0900000000  0.0000000000
  0.0700000000  0.0900000000  0.0100000000
  0.0700000000  0.0900000000  0.0200000000
  0.0700000000  0.0900000000  0.0300000000
  0.0700000000  0.0900000000  0.0400000000
  0.0700000000  0.0900000000  0.0500000000
  0.0700000000  0.0900000000  0.0600000000
  0.0700000000  0.0900000000  0.0700000000
  0.0700000000  0.0900000000  0.0800000000
  0.0700000000  0.0900000000  0.0900000000
  0.0700000000  0.0900000000  0.1000000000
  0.0700000000  0.0900000000  0.1100000000
  0.0700000000  0.0900000000  0.1200000000
  0.0700000000  0.0900000000  0.1300000000
  0.0700000000  0.0900000000  0.1400000000
  0.0700000000  0.0900000000  0.1500000000
  0.0700000000  0.0900000000  0.1600000000
  0.0700000000  0.0900000000  0.1700000000
  0.0700000000  0.0900000000  0.1800000000
  0.0700000000  0.0900000000  0.1900000000
  0.0700000000  0.0900000000  0.2000000000
  0.0700000000  0.0900000000  0.2100000000
  0.0700000000  0.0900000000  0.2200000000
  0.0700000000  0.0900000000  0.2300000000
